M_X_GeV,"H(0,0)","H(1,0)","H(1,1)","H(2,0)","H(2,1)","H(2,2)","H(3,0)","H(3,1)","H(3,2)","H(3,3)","H(4,0)","H(4,1)","H(4,2)","H(4,3)","H(4,4)"
0.791638795986622,0.8599037418028731,-0.16168237453223083,-0.15085437740207022,-0.10623627000498251,0.273313688228543,0.07068961318952627,0.01531064340124607,-0.00792262192032375,-0.007531134634451207,-0.009591172426978408,-0.015449755055814675,0.007978626430293572,0.0012369360670349265,0.0,0.0
0.7963210702341137,0.8323857891416903,-0.15177344568933238,-0.13990252811482956,-0.10090708213675512,0.26438227980879286,0.06856566871711678,0.016280706274281322,-0.007826689369111472,-0.007374403374386709,-0.009608961699146958,-0.015343475446390004,0.008392075707658235,0.0014910321607062831,0.0,0.0
0.8010033444816054,0.8013121416193353,-0.14185409263711132,-0.1290962537232601,-0.09511003423949829,0.2542088806355955,0.0661652661936238,0.017111104865349117,-0.007706106176547059,-0.007179471176399002,-0.009565710744973418,-0.015140491017712586,0.008739056172865578,0.0017313240665957417,0.0,0.0
0.805685618729097,0.7676842609019632,-0.13212896619848438,-0.11864092578771632,-0.08901073530147546,0.2431334648653265,0.06356797456213008,0.017799582071697434,-0.007569216141253553,-0.006954524784933418,-0.009468991077923254,-0.014855106366791203,0.009019971888334746,0.001954870772850211,0.0,0.0
0.8103678929765885,0.732456300215804,-0.12276593595651675,-0.10869895280760551,-0.08276195779178419,0.2314806973411537,0.06084927795783595,0.01834961266401037,-0.007423974999464534,-0.006707706887368559,-0.009327324989599768,-0.014502684474769021,0.009237720675497076,0.0021598272510625067,0.0,0.0
0.8150501672240802,0.6964861840122601,-0.1138930734262474,-0.09938828701759049,-0.07649677077310384,0.21954309660867818,0.058076775443104814,0.018769090367019004,-0.007277569052862047,-0.006446628935490373,-0.009149485920792632,-0.014098509093745801,0.009397043477644574,0.0023453492603130633,0.0,0.0
0.8197324414715719,0.6605064563908362,-0.10559980207703148,-0.09078514680992571,-0.07032498462520527,0.20757091487939036,0.055307950621614685,0.019068936567907133,-0.007136194469135517,-0.00617804372266148,-0.008943940526800276,-0.013656919635188464,0.009503866265312176,0.002511433880352007,0.0,0.0
0.8244147157190636,0.6251127743068906,-0.09794093599259299,-0.0829294837194427,-0.06433239971981505,0.19576803678483512,0.05258933221931049,0.019261810843299327,-0.0070049788833924705,-0.005907671014611443,-0.008718457082922267,-0.013190742181843327,0.009564711794523343,0.002658731771107747,0.0,0.0
0.8290969899665552,0.5907660631279319,-0.09094232150215244,-0.07583179760197306,-0.058582110310585446,0.18429255633179303,0.04995672371645824,0.019361031423570138,-0.006888012485662693,-0.0056401496764102894,-0.008479873140763233,-0.012710990190860543,0.00958622390251766,0.002788359767784292,0.0,0.0
0.8337792642140467,0.5578038519185481,-0.0846070149445583,-0.0694801944349017,-0.05311709042613535,0.17326051228329753,0.047436144265403025,0.01937974864887302,-0.006788452246354154,-0.00537908161423969,-0.008233996216771237,-0.012226780934653276,0.00957481739209299,0.0029017327090377198,0.0,0.0
0.8384615384615384,0.5264567268690824,-0.07892124037494212,-0.06384694296069068,-0.047963399718236086,0.16275139894478582,0.04504515919860678,0.01933036690752401,-0.006708666703462565,-0.0051271334596414775,-0.00798560367256754,-0.011745405411786244,0.009536445982854979,0.0030004242654380997,0.0,0.0
0.84314381270903,0.4968667200586531,-0.07385967581490602,-0.05889412035846311,-0.043133516381400866,0.1528143645422627,0.04279434960089595,0.01922418232291013,-0.006650396059263566,-0.0048861675207941616,-0.007738508512658341,-0.011272493967191705,0.00947646947618309,0.0030860594959421376,0.0,0.0
0.8478260869565217,0.4691054321298833,-0.06938986326881144,-0.054578195159673874,-0.03862947605882346,0.1434743417309163,0.04068874874603635,0.019071191319623204,-0.006614910368258686,-0.004657380956757226,-0.007495662955154628,-0.01081223086270599,0.009399597255916855,0.0031602372796632723,0.0,0.0
0.8525083612040134,0.4431905602147226,-0.0654757102140595,-0.0508535676805136,-0.03444563992985606,0.13473765168429283,0.03872914223866983,0.018880024085287904,-0.0066031556740135805,-0.004441439330222444,-0.007259278443013465,-0.010367583808099112,0.009309885983565072,0.0032244783377107203,0.0,0.0
0.8571906354515049,0.419100176837554,-0.0620801546346745,-0.047675185747085326,-0.030571021479918168,0.12659685348857122,0.03691318161896732,0.018657962049742717,-0.006615883378647123,-0.004238596623221458,-0.007030947418825116,-0.009940526176761251,0.009210772586150967,0.003280193695236866,0.0,0.0
0.8618729096989965,0.3967845712706686,-0.05916711742509444,-0.045000395931038085,-0.026991171330923495,0.11903477022648522,0.03523629736152106,0.01841100620666226,-0.006653761843590687,-0.00404879815318886,-0.006811757763734376,-0.009532239022512838,0.00910512775274204,0.0033286685514220898,0.0,0.0
0.8665551839464882,0.37617575236267226,-0.05670288207657263,-0.04279019728171185,-0.023689660027584953,0.11202772224327291,0.03369241915449665,0.018143971100621076,-0.006717471476765082,-0.003871765717712283,-0.006602395014018857,-0.009143286834652861,0.008995319170985944,0.003371057156998806,0.0,0.0
0.8712374581939799,0.3571948652825729,-0.0546570362798339,-0.04101005119640284,-0.02064921820277366,0.10554805150871187,0.0322745226119702,0.01786058637027704,-0.006807785707716212,-0.003707066018835252,-0.0064032303914330355,-0.008773765504888667,0.008883277165342214,0.003408385124306935,0.0,0.0
0.8759197324414716,0.33975783642481105,-0.05300309383350481,-0.039630378459461435,-0.017852599567221034,0.0995660431732763,0.03097502550536039,0.017563593390812315,-0.006925640607333612,-0.0035541642980373694,-0.006214394549138975,-0.008423423724569178,0.008770558088545703,0.0034415564218558668,0.0,0.0
0.8806020066889633,0.32377956523857254,-0.0517188947057479,-0.03862684925445831,-0.01528323047879645,0.09405135311813244,0.02978605586731654,0.017254828749816153,-0.007072195703992352,-0.0034124654366815424,-0.006035838013303143,-0.008091760489350007,0.008658402794187966,0.0034713630364648336,0.0,0.0
0.8852842809364547,0.3091769536641333,-0.0507868599268087,-0.03798054754011276,-0.01292570451138574,0.08897404206101522,0.0286996107998598,0.016935289197767933,-0.007248887905602418,-0.003281344763926544,-0.005867379834250599,-0.007778101991281463,0.008547788891092378,0.0034984958846887874,0.0,0.0
0.8899665551839464,0.2958710191722916,-0.0501941576416466,-0.03767806870319382,-0.010766174096965073,0.08430530326278843,0.02770761967633255,0.01660517460860104,-0.0074574793605677175,-0.003160170619949383,-0.005708746143662359,-0.0074816612536732635,0.008439476382268557,0.003523556019614289,0.0,0.0
0.8946488294314381,0.2837882851471829,-0.04993281692536075,-0.03771158831736212,-0.00879268552369938,0.08001795547465089,0.026801919271536672,0.01626390667321667,-0.007700098449812727,-0.0030483204481812,-0.005559600287042628,-0.007201583643832618,0.008334046847432438,0.0035470655244529956,0.0,0.0
